#{"t_start": 1745974515.399106, "env_id": "CartPole-v1"}
r,l,t
28.0,28,2.108608
33.0,33,2.8151
17.0,17,3.189282
22.0,22,3.668811
18.0,18,4.073303
12.0,12,4.34343
23.0,23,4.843974
27.0,27,5.435103
