#{"t_start": 1746037119.556275, "env_id": "PickCube-v1"}
r,l,t
3.903118,50,15.028968
4.851219,50,15.076719
3.346403,50,15.123544
3.854094,50,15.170875
4.229386,50,15.217855
4.923333,50,15.260961
5.645191,50,15.307093
4.709502,50,15.352482
5.432364,50,15.399591
4.720262,50,15.445726
3.699169,50,15.490876
2.912424,50,15.537909
3.173517,50,15.582816
3.666422,50,15.626411
1.872287,50,15.671494
4.02329,50,15.714644
4.890916,50,15.759856
4.910145,50,15.804162
5.101393,50,15.8533
4.235279,50,15.903344
3.510626,50,15.953105
3.515001,50,15.995582
4.03084,50,16.038943
4.528614,50,16.551241
5.782962,50,16.601535
4.759327,50,16.647309
3.864042,50,16.691285
3.813364,50,16.737266
4.174709,50,16.78223
5.252655,50,16.834812
3.815674,50,16.880585
5.160088,50,16.930111
4.244722,50,16.976849
4.335287,50,17.022923
4.905072,50,17.070222
5.251877,50,17.117276
3.076569,50,17.160983
2.904616,50,17.204351
2.480423,50,17.250121
4.583939,50,17.296824
5.072796,50,17.348602
3.666639,50,17.39645
3.861661,50,17.442303
5.542281,50,17.48802
3.091063,50,17.52956
3.688711,50,17.575465
3.637275,50,17.620424
5.362588,50,17.667871
6.020001,50,17.716742
3.940613,50,17.762474
5.031765,50,17.80762
5.333198,50,17.856733
5.203447,50,17.906311
3.955627,50,17.954811
3.389864,50,18.00153
3.751768,50,18.047373
3.497635,50,18.095207
3.904761,50,18.142996
4.43812,50,18.191364
5.332815,50,18.236608
5.927172,50,18.287195
6.272046,50,18.335193
4.299668,50,18.381203
4.461564,50,18.428649
3.723929,50,18.93912
4.627527,50,18.982837
4.823799,50,19.0272
4.736609,50,19.072012
6.108391,50,19.124891
3.827746,50,19.17
5.038438,50,19.218015
3.622345,50,19.260862
4.705824,50,19.307858
4.890209,50,19.355345
2.511408,50,19.401236
4.00893,50,19.450188
4.696779,50,19.497987
5.797901,50,19.548544
5.752466,50,19.598391
5.186579,50,19.649121
4.566031,50,19.693612
4.235219,50,19.736104
4.324771,50,19.781138
4.148732,50,19.827764
2.659762,50,19.872246
3.846528,50,19.91553
4.69897,50,19.962043
3.03665,50,20.005919
3.957295,50,20.052835
4.322598,50,20.101539
5.788619,50,20.152208
4.780282,50,20.198229
4.975112,50,20.243609
3.714913,50,20.285994
4.586511,50,20.331009
4.536535,50,20.375797
4.330768,50,20.422977
5.160195,50,20.471768
5.438478,50,20.525936
6.204449,50,20.577622
5.951995,50,20.62766
6.140303,50,20.677332
4.622279,50,20.726067
3.724337,50,20.769767
6.444931,50,20.816695
4.518149,50,21.314534
4.160009,50,21.359692
6.27191,50,21.410725
6.128624,50,21.458602
6.137279,50,21.508408
5.111919,50,21.55587
5.08983,50,21.605053
5.670601,50,21.655175
5.307736,50,21.702224
3.489703,50,21.747502
2.430748,50,21.789879
5.280993,50,21.836126
5.710431,50,21.882769
4.961709,50,21.926862
3.767071,50,21.971461
2.930713,50,22.01605
5.213631,50,22.066135
5.501383,50,22.112708
3.165918,50,22.155488
4.191005,50,22.201014
6.227515,50,22.253248
5.490419,50,22.300933
6.254654,50,22.35034
3.953123,50,22.396206
3.550047,50,22.443633
4.0326,50,22.490522
5.575518,50,22.537889
4.192552,50,22.584148
5.417014,50,22.632985
3.201465,50,22.677274
5.810442,50,22.724964
5.92485,50,22.771607
3.576316,50,22.81631
4.01659,50,22.859214
4.568404,50,22.903812
3.667018,50,22.948063
5.604122,50,22.995619
5.120216,50,23.042615
4.672306,50,23.086755
5.028257,50,23.132593
3.198316,50,23.178285
3.671708,50,23.677587
6.196083,50,23.729757
5.2365,50,23.780027
4.087713,50,23.827643
5.70953,50,23.874182
5.46883,50,23.918814
5.552274,50,23.967005
5.124676,50,24.016078
5.383536,50,24.070952
5.212538,50,24.125091
3.019318,50,24.17553
5.155027,50,24.224143
5.452427,50,24.272429
4.249017,50,24.319777
2.957722,50,24.365886
4.165894,50,24.41109
3.032838,50,24.454636
5.396533,50,24.502172
4.922776,50,24.546859
5.295467,50,24.593473
4.322297,50,24.63925
5.02949,50,24.685933
5.69286,50,24.734665
4.539187,50,24.776983
6.185247,50,24.827803
4.7424,50,24.872176
4.629784,50,24.914602
3.930238,50,24.958194
5.271159,50,25.002279
2.627816,50,25.050103
6.164667,50,25.102156
2.889325,50,25.148079
6.610266,50,25.200585
4.063867,50,25.247561
6.543264,50,25.300092
3.55523,50,25.346485
5.573744,50,25.395217
4.349466,50,25.443418
5.442,50,25.490411
4.309524,50,25.535699
4.15804,50,25.589146
3.376046,50,26.121849
3.640242,50,26.175881
1.929404,50,26.233205
4.230005,50,26.280711
5.509877,50,26.329879
5.494283,50,26.376963
5.151052,50,26.426823
2.911475,50,26.47397
6.142136,50,26.526931
5.189646,50,26.577078
3.551193,50,26.62188
5.270059,50,26.672321
6.486551,50,26.728675
5.751158,50,26.77905
3.6065,50,26.82754
5.797215,50,26.879124
5.408117,50,26.928621
5.90055,50,26.976753
5.213276,50,27.02362
4.106137,50,27.070013
5.154715,50,27.116137
6.096663,50,27.16793
4.594674,50,27.215443
4.541775,50,27.26609
3.84774,50,27.315048
5.515822,50,27.364457
4.00529,50,27.412556
5.108453,50,27.46431
6.310581,50,27.514385
5.569878,50,27.564073
5.007581,50,27.615132
4.156382,50,27.664873
4.803095,50,27.712378
5.410589,50,27.761082
4.581364,50,27.81631
5.513861,50,27.863489
6.570326,50,27.913459
5.005962,50,27.960134
3.95534,50,28.004434
5.452341,50,28.050701
5.885244,50,28.098118
5.136386,50,28.657049
4.789005,50,28.717431
5.029761,50,28.779193
6.074189,50,28.845385
6.655975,50,28.915272
4.497731,50,28.977535
5.875192,50,29.042941
5.940432,50,29.105263
6.162144,50,29.172014
5.92947,50,29.232496
4.788257,50,29.293141
5.565175,50,29.351
5.017114,50,29.401008
4.285984,50,29.448433
6.091358,50,29.506021
3.272346,50,29.557039
5.017919,50,29.606445
4.196894,50,29.653157
4.130684,50,29.700931
5.614409,50,29.750162
4.846879,50,29.799135
4.56127,50,29.849239
5.775009,50,29.901053
6.735282,50,29.955208
6.445311,50,30.008288
5.521281,50,30.056115
6.003972,50,30.109244
6.878575,50,30.162737
3.896475,50,30.211854
5.045934,50,30.275567
5.657249,50,30.341321
4.768365,50,30.405033
4.226702,50,30.457748
3.940769,50,30.519751
6.460827,50,30.58114
5.712733,50,30.637392
6.334446,50,30.69136
5.723341,50,30.741522
5.840547,50,30.793861
4.531448,50,30.843485
4.913573,50,30.892599
6.1373,50,31.566684
3.684197,50,31.615197
6.106653,50,31.667648
4.501772,50,31.71675
3.74888,50,31.763779
5.635986,50,31.816872
5.913469,50,31.870626
